ids,userid,ng,maxng,deal01,deal01val,deal02,deal02val,deal03,deal03val
i975709783560695848,975709783560695848,300,300,498145514726883348,100,498145514726883348,100,498145514726883348,100
i498145514726883348,498145514726883348,393098,393098,975709783560695848,8732,975709783560695848,288000,975709783560695848,-100
i970655662436667392,970655662436667392,1200,1200,498145514726883348,100,0,0,0,0
i1251807616024186880,1251807616024186880,2523,2523,498145514726883348,2423,0,0,0,0
i338582601726165013,338582601726165013,1155140,1195155,975709783560695848,20000,975709783560695848,-10000,975709783560695848,10
i390622926728069120,390622926728069120,700,700,975709783560695848,600,0,0,0,0
i636875041111408640,636875041111408640,-250000,1090305,975709783560695848,-500000,975709783560695848,150000,338582601726165013,-1000
i803219497363570708,803219497363570708,130,130,975709783560695848,30,0,0,0,0
i608548071810400266,608548071810400266,46200,56200,975709783560695848,-10000,975709783560695848,25000,975709783560695848,-200
i466731485433430027,466731485433430027,125,125,975709783560695848,25,0,0,0,0
i595082816849444874,595082816849444874,125,815,975709783560695848,10,975709783560695848,10,975709783560695848,25
i974000246361313370,974000246361313370,324,324,975709783560695848,150,975709783560695848,-10,975709783560695848,0
